CMPLNT_NUM,CMPLNT_FR_DT,CMPLNT_FR_TM,CMPLNT_TO_DT,CMPLNT_TO_TM,RPT_DT,KY_CD,OFNS_DESC,PD_CD,PD_DESC,CRM_ATPT_CPTD_CD,LAW_CAT_CD,JURIS_DESC,BORO_NM,ADDR_PCT_CD,LOC_OF_OCCUR_DESC,PREM_TYP_DESC,PARKS_NM,HADEVELOPT,X_COORD_CD,Y_COORD_CD,Latitude,Longitude,Lat_Lon
477573345,02/29/2016,16:50:00,02/29/2016,16:57:00,02/29/2016,113,FORGERY,729,"FORGERY,ETC.,UNCLASSIFIED-FELO",COMPLETED,FELONY,N.Y. POLICE DEPT,BROOKLYN,69,,STREET,,,1010955,173062,40.641659777,-73.903775309,"(40.641659777, -73.903775309)"
387761605,02/29/2016,16:50:00,02/29/2016,17:00:00,02/29/2016,341,PETIT LARCENY,357,"LARCENY,PETIT OF VEHICLE ACCES",COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,BRONX,41,,STREET,,,1015773,240835,40.827663925,-73.886097092,"(40.827663925, -73.886097092)"
548304207,02/29/2016,16:50:00,02/29/2016,16:55:00,02/29/2016,341,PETIT LARCENY,333,"LARCENY,PETIT FROM STORE-SHOPL",COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,QUEENS,110,INSIDE,DRUG STORE,,,1017325,209473,40.741577988,-73.880643548,"(40.741577988, -73.880643548)"
716563534,02/29/2016,16:50:00,02/29/2016,17:00:00,02/29/2016,361,OFF. AGNST PUB ORD SENSBLTY &,661,"LEWDNESS,PUBLIC",COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,BROOKLYN,69,,STREET,,,1009966,169118,40.630837267,-73.907354,"(40.630837267, -73.907354)"
511169118,02/29/2016,16:45:00,02/29/2016,17:30:00,02/29/2016,341,PETIT LARCENY,333,"LARCENY,PETIT FROM STORE-SHOPL",COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,BROOKLYN,79,INSIDE,DEPARTMENT STORE,,,998225,186768,40.679308959,-73.949616903,"(40.679308959, -73.949616903)"
353291478,02/29/2016,16:45:00,02/29/2016,17:30:00,02/29/2016,351,CRIMINAL MISCHIEF & RELATED OF,259,"CRIMINAL MISCHIEF,UNCLASSIFIED 4",COMPLETED,MISDEMEANOR,N.Y. HOUSING POLICE,BROOKLYN,83,INSIDE,RESIDENCE - PUBLIC HOUSING,,BUSHWICK II (GROUPS A & C),1006309,193479,40.697712656,-73.920449423,"(40.697712656, -73.920449423)"
906943878,02/29/2016,16:45:00,02/29/2016,17:00:00,02/29/2016,361,OFF. AGNST PUB ORD SENSBLTY &,639,AGGRAVATED HARASSMENT 2,COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,BROOKLYN,88,INSIDE,COMMERCIAL BUILDING,,,990125,189957,40.688071119,-73.978817325,"(40.688071119, -73.978817325)"
837829703,02/29/2016,16:40:00,02/29/2016,16:43:00,02/29/2016,109,GRAND LARCENY,415,"LARCENY,GRAND FROM PERSON,PICK",COMPLETED,FELONY,N.Y. POLICE DEPT,MANHATTAN,14,INSIDE,STREET,,,990419,213304,40.752152817,-73.977735823,"(40.752152817, -73.977735823)"
167655142,02/29/2016,16:38:00,02/29/2016,16:40:00,02/29/2016,341,PETIT LARCENY,321,"LARCENY,PETIT FROM AUTO",COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,MANHATTAN,9,FRONT OF,TAXI (YELLOW LICENSED),,,989382,205548,40.730865187,-73.98148456,"(40.730865187, -73.98148456)"
300995412,02/29/2016,16:33:00,02/29/2016,16:37:00,02/29/2016,341,PETIT LARCENY,333,"LARCENY,PETIT FROM STORE-SHOPL",COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,MANHATTAN,20,INSIDE,DRUG STORE,,,989163,220184,40.771037439,-73.982264048,"(40.771037439, -73.982264048)"
609748055,02/29/2016,16:30:00,02/29/2016,16:40:00,02/29/2016,121,CRIMINAL MISCHIEF & RELATED OF,269,"MISCHIEF,CRIMINAL,    UNCL 2ND",COMPLETED,FELONY,N.Y. POLICE DEPT,MANHATTAN,5,,STREET,,,983897,201214,40.718970887,-74.001274887,"(40.718970887, -74.001274887)"
981208154,02/29/2016,16:30:00,02/29/2016,16:48:00,02/29/2016,113,FORGERY,729,"FORGERY,ETC.,UNCLASSIFIED-FELO",COMPLETED,FELONY,N.Y. TRANSIT POLICE,BROOKLYN,79,,TRANSIT - NYC SUBWAY,,,998241,187165,40.680398609,-73.949558393,"(40.680398609, -73.949558393)"
646567341,02/29/2016,16:30:00,02/29/2016,16:53:00,02/29/2016,105,ROBBERY,388,"ROBBERY,RESIDENTIAL COMMON AREA",COMPLETED,FELONY,N.Y. POLICE DEPT,BRONX,52,INSIDE,RESIDENCE - APT. HOUSE,,,1014902,256702,40.871217188,-73.8891718,"(40.871217188, -73.8891718)"
814929058,02/29/2016,16:30:00,02/29/2016,16:40:00,02/29/2016,109,GRAND LARCENY,437,"LARCENY,GRAND BY FALSE PROMISE-IN PERSON CONTACT",COMPLETED,FELONY,N.Y. POLICE DEPT,BRONX,45,INSIDE,RESIDENCE-HOUSE,,,1032140,242004,40.830798914,-73.826948796,"(40.830798914, -73.826948796)"
